Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
Maman a choisi l'hotel le plus agreable;Mutti hat das angenehmste hotel gewählt;2;2013-01-09T00:21:22;0;1;
Le Ministre rendit compte de son voyage en Chine;Der Minister berichtete über seine Chinareise;5;2013-01-05T18:12:55;4;1;
formidable;großartig;5;2013-01-06T22:59:57;2;3;
l'impression generale;der Gesamteindruck;8;2012-12-31T14:36:31;9;12;
depuis quelque temps;seit einiger zeit;4;2013-01-09T00:22:00;0;3;
l'ours;der Bär;7;2013-01-04T16:48:42;5;8;
emouvant, pathetique;bewegend;6;2013-01-03T00:09:53;6;2;
Qu'est ce qui t'as incité à prendre cette décision?;Was hat dich dazu angeregt, diese Entscheidung zu treffen?;1;2013-01-09T00:26:54;0;1;
la centrale electrique;das Kraftwerk;5;2013-01-09T00:19:05;0;5;
Ca y est;Es ist geschafft;1;2013-01-09T00:24:56;0;1;
l'observateur;der beobachter;8;2012-12-25T17:07:39;15;6;
suivant qc;zufolge;5;2013-01-09T00:21:43;0;5;
vomir;ausbrechen;5;2013-01-09T20:19:41;0;5;
l'automne;der Herbst;6;2013-01-05T17:55:10;4;4;
Bonjour;Guten Tag;5;2013-01-05T18:08:06;4;1;
la grêle;der Hagel;8;2013-01-04T16:20:03;5;16;
Je déplore que ce dictionnaire ne donne pas la prononciation;An diesem Wörterbuch vermisse ich Angaben zur Aussprache;2;2013-01-08T21:30:27;0;1;
se creuser la tete;grübeln;6;2013-01-09T20:17:31;0;8;
Ca depend;es kommt darauf an;5;2013-01-05T18:08:32;4;1;
cultiver, extraire;fördern;8;2013-01-05T18:15:07;4;17;
craneuse, vantard;angeberisch;7;2013-01-04T16:53:09;5;8;
La criminelle a été arrêtée;Die Verbrecherin wurde verhaftet;6;2013-01-05T17:44:28;4;4;
le virement automatique;der Dauerauftrag;3;2013-01-09T00:28:41;0;2;
le chef;der Leiter;8;2013-01-09T00:25:50;0;21;
le soleil;die Sonne;8;2012-12-25T19:09:15;15;6;
bizare;seltsam;8;2012-12-25T17:07:18;15;6;
embaucher;einstellen;7;2012-12-31T16:25:20;9;4;
ne serait ce que;sei es nur;8;2012-12-25T19:18:05;15;6;
le chomage des jeunes est monté jusqu'a 52%;die Jungendarbeitslosigkeit ist auf 52% gestiegen;5;2013-01-05T18:12:08;4;1;
la terre;die Erde;8;2012-12-22T14:47:20;18;3;
la plupart des vacanciers pensent à l'espagne;Die meisten Urlauber denken an Spanien;7;2013-01-04T16:52:42;5;8;
des friandises;die Süßigkeiten;8;2013-01-04T16:47:09;5;16;
Nous travaillons plus que jamais;Wir arbeiten mehr denn je;6;2013-01-03T00:12:33;6;2;
le capitalisme;der Kapitalismus;5;2013-01-09T00:27:00;0;5;
la defaite (sportive);die niederlage;7;2013-01-04T16:52:22;5;8;
Je te demande un service;ich bitte dich um einen Gefallen;2;2013-01-09T00:27:48;0;1;
Je collectionne les timbres;Ich sammle Briefmarken;7;2013-01-08T21:35:21;0;13;
J'ai ecrit plus de page que toi;Ich habe mehr Seiten geschrieben als du;5;2013-01-09T00:24:31;0;5;
Lundi;Montag;5;2013-01-09T19:54:38;0;5;
pleurnichard;weinerlich;8;2012-12-22T15:04:13;18;3;
l'emploi du temps;der Tagesablauf;8;2013-01-05T18:15:03;4;17;
le bruit;das Gerücht;3;2013-01-09T00:27:20;0;2;
l'etat civil;der familienstand;4;2013-01-09T20:20:03;0;3;
je ne m'attendais pas a cette nouvelle;ich war nicht auf diese nachricht gefaßt;1;2013-01-09T00:30:47;0;1;
entre autres;unter anderem;3;2013-01-09T00:29:01;0;2;
le plus perspicace parmi tous;der Allerklugste;6;2013-01-03T00:16:59;6;2;
Nous ne voulons pas grimper plus haut;Wir wollen nicht höher klettern;1;2013-01-09T00:30:09;0;1;
la recompense;die Belohnung;1;2013-01-09T00:31:31;0;1;
l'arret, l'abandon;das Aussetzen;5;2013-01-05T18:13:28;4;1;
la consequence;die Auswirkung;7;2012-12-31T16:26:57;9;4;
sensible, prude;zimperlich;9;2013-01-03T22:55:10;5;29;
deplaisant;unangenehm;9;2013-01-09T20:17:39;0;34;
calculer;rechnen;8;2012-12-25T19:22:13;15;6;
Voyez-vous la grande ferme là-bas ? Mon ami Dupont en est le propriétaire;Sehen Sie den großen Hof dort hinten? Mein Freund Dupont ist der Eigentümer;5;2013-01-06T22:59:50;2;3;
Je ne doute pas de la victoire;ich zweifle nicht an dem Sieg;1;2013-01-09T00:29:25;0;1;
ecologique;ökologisch;8;2013-01-04T16:47:40;5;16;
le dossier;das Verzeichnis;3;2013-01-08T18:53:42;1;1;
la faim est le meilleur cuisinier;Hunger ist der beste Koch;6;2013-01-05T17:56:54;4;4;
egalement, pareillement;ebenfalls;1;2013-01-09T00:30:24;0;1;
samedi;samstag;5;2013-01-09T20:16:31;0;5;
detenir, revetir;bekleiden;8;2012-12-25T18:52:40;15;6;
J'aime occuper mon temps a lire;Ich verbringe meine Zeit gern mit lesen;6;2013-01-09T20:18:17;0;8;
Flute;Mist;9;2013-01-06T21:57:01;2;32;
en etat d'apesanteur;schwerelos;5;2013-01-09T20:18:44;0;5;
suffisant;ausreichend;1;2013-01-09T00:30:51;0;1;
le bonnet de laine;die wollmütze;1;2013-01-08T21:30:39;0;1;
le destinataire;der empfänger;8;2013-01-09T00:27:36;0;21;
Je suis furieux à cause de;Ich bin wütend über;4;2013-01-09T19:33:52;0;3;
dimanche;sonntag;4;2013-01-09T20:19:57;0;3;
tomber en panne, échouer;versagen;8;2012-12-25T19:20:12;15;6;
la cadance, le rythme;der Takt;8;2013-01-01T21:34:09;7;14;
l'evenement;das Geschehen;9;2013-01-09T20:19:00;0;34;
exceller dans quelque chose;in etwas ausgezeichnet sein;4;2013-01-09T19:18:06;0;3;
etre gai, etre en pleine forme;richtig in Stimmung kommen;1;2013-01-09T00:32:51;0;1;
enbrasser;küssen;9;2013-01-08T17:44:40;1;33;
le ciel;der Himmel;9;2013-01-03T22:41:02;5;29;
le fusil;das Gewehr;5;2013-01-06T22:59:22;2;3;
livrer quelquechose;abliefern;8;2013-01-04T16:53:14;5;16;
se tenir à carreau	;sich anständig benehmen;5;2013-01-09T20:20:17;0;5;
la folie, du jamais vu;Wahnsinn;1;2013-01-09T00:32:25;0;1;
le mot-clé;das Stichwort;1;2013-01-09T00:32:32;0;1;
la grande ours;der Große Bär;7;2013-01-05T17:56:41;4;9;
alors que;obwohl;6;2013-01-09T20:18:49;0;8;
Il a attrapé le bus de justesse;Er hat den Bus gerade noch erwischt;5;2013-01-09T00:29:15;0;5;
la météo;das Wetter;9;2013-01-09T20:17:06;0;34;
le chomage des jeunes a augmanté de 25%;die Jungendarbeitslosigkeit ist um 25% gestiegen;6;2013-01-03T00:14:59;6;2;
Patiemment l'araignée tisse sa toile;Geduldig webt die Spinne ihr Netz;7;2013-01-05T17:55:40;4;9;
régler le volume;die Lautstärke ein stellen;7;2012-12-31T16:32:48;9;4;
se lier d'amitié avec qn.;sich mit jemandem befreunden;1;2013-01-09T00:32:59;0;1;
un petit beure;der Butterkeks;9;2013-01-03T22:55:22;5;29;
