Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
une bequille, un soutient;die Stütze;8;2012-12-25T19:01:04;13;8;
etwas anstreben;aspirer a quelque chose;2;2013-01-06T18:39:31;1;0;
cassé;zerbrochen;2;2013-01-06T18:35:13;1;0;
Maman a choisi l'hotel le plus agreable;Mutti hat das angenehmste hotel gewählt;1;2013-01-06T18:36:04;1;0;
Le Ministre rendit compte de son voyage en Chine;Der Minister berichtete über seine Chinareise;5;2013-01-05T18:12:55;2;3;
formidable;großartig;5;2013-01-06T22:59:57;1;4;
l'impression generale;der Gesamteindruck;8;2012-12-31T14:36:31;7;14;
depuis quelque temps;seit einiger zeit;3;2013-01-06T18:34:14;1;1;
l'ours;der Bär;7;2013-01-04T16:48:42;3;10;
emouvant, pathetique;bewegend;6;2013-01-03T00:09:53;5;4;
Qu'est ce qui t'as incité à prendre cette décision?;Was hat dich dazu angeregt, diese Entscheidung zu treffen?;1;2013-01-06T17:57:48;1;0;
la centrale electrique;das Kraftwerk;4;2013-01-05T17:55:17;2;1;
Ca y est;Es ist geschafft;7;2012-12-25T19:02:50;13;0;
l'observateur;der beobachter;8;2012-12-25T17:07:39;13;8;
suivant qc;zufolge;4;2013-01-05T17:53:35;2;1;
vomir;ausbrechen;4;2013-01-06T18:33:41;1;2;
l'automne;der Herbst;6;2013-01-05T17:55:10;2;6;
Bonjour;Guten Tag;5;2013-01-05T18:08:06;2;3;
la grêle;der Hagel;8;2013-01-04T16:20:03;3;18;
Je déplore que ce dictionnaire ne donne pas la prononciation;An diesem Wörterbuch vermisse ich Angaben zur Aussprache;1;2013-01-06T22:01:04;1;0;
se creuser la tete;grübeln;5;2013-01-03T22:55:06;4;1;
Ca depend;es kommt darauf an;5;2013-01-05T18:08:32;2;3;
cultiver, extraire;fördern;8;2013-01-05T18:15:07;2;19;
craneuse, vantard;angeberisch;7;2013-01-04T16:53:09;3;10;
La criminelle a été arrêtée;Die Verbrecherin wurde verhaftet;6;2013-01-05T17:44:28;2;6;
le virement automatique;der Dauerauftrag;2;2013-01-06T18:33:47;1;0;
le chef;der Leiter;7;2012-12-25T19:03:24;13;0;
le soleil;die Sonne;8;2012-12-25T19:09:15;13;8;
bizare;seltsam;8;2012-12-25T17:07:18;13;8;
embaucher;einstellen;7;2012-12-31T16:25:20;7;6;
ne serait ce que;sei es nur;8;2012-12-25T19:18:05;13;8;
le chomage des jeunes est monté jusqu'a 52%;die Jungendarbeitslosigkeit ist auf 52% gestiegen;5;2013-01-05T18:12:08;2;3;
la terre;die Erde;8;2012-12-22T14:47:20;16;5;
la plupart des vacanciers pensent à l'espagne;Die meisten Urlauber denken an Spanien;7;2013-01-04T16:52:42;3;10;
des friandises;die Süßigkeiten;8;2013-01-04T16:47:09;3;18;
Nous travaillons plus que jamais;Wir arbeiten mehr denn je;6;2013-01-03T00:12:33;5;4;
le capitalisme;der Kapitalismus;4;2013-01-05T17:53:32;2;1;
la defaite (sportive);die niederlage;7;2013-01-04T16:52:22;3;10;
Je te demande un service;ich bitte dich um einen Gefallen;1;2013-01-06T18:41:30;1;0;
Je collectionne les timbres;Ich sammle Briefmarken;6;2012-12-31T15:15:57;7;1;
J'ai ecrit plus de page que toi;Ich habe mehr Seiten geschrieben als du;4;2013-01-05T17:52:16;2;1;
Lundi;Montag;4;2013-01-06T18:35:03;1;2;
pleurnichard;weinerlich;8;2012-12-22T15:04:13;16;5;
l'emploi du temps;der Tagesablauf;8;2013-01-05T18:15:03;2;19;
le bruit;das Gerücht;2;2013-01-06T18:36:37;1;0;
l'etat civil;der familienstand;4;2013-01-06T18:34:51;1;2;
je ne m'attendais pas a cette nouvelle;ich war nicht auf diese nachricht gefaßt;3;2013-01-06T18:39:19;1;1;
entre autres;unter anderem;2;2013-01-06T18:34:27;1;0;
le plus perspicace parmi tous;der Allerklugste;6;2013-01-03T00:16:59;5;4;
Nous ne voulons pas grimper plus haut;Wir wollen nicht höher klettern;3;2013-01-06T18:40:14;1;1;
la recompense;die Belohnung;7;2012-12-25T19:11:58;13;0;
l'arret, l'abandon;das Aussetzen;5;2013-01-05T18:13:28;2;3;
la consequence;die Auswirkung;7;2012-12-31T16:26:57;7;6;
sensible, prude;zimperlich;9;2013-01-03T22:55:10;4;30;
deplaisant;unangenehm;8;2012-12-19T00:42:00;19;2;
calculer;rechnen;8;2012-12-25T19:22:13;13;8;
Voyez-vous la grande ferme là-bas ? Mon ami Dupont en est le propriétaire;Sehen Sie den großen Hof dort hinten? Mein Freund Dupont ist der Eigentümer;5;2013-01-06T22:59:50;1;4;
Je ne doute pas de la victoire;ich zweifle nicht an dem Sieg;1;2013-01-06T18:41:20;1;0;
ecologique;ökologisch;8;2013-01-04T16:47:40;3;18;
desservir;schlechten;8;2013-01-04T16:48:26;3;18;
la faim est le meilleur cuisinier;Hunger ist der beste Koch;6;2013-01-05T17:56:54;2;6;
egalement, pareillement;ebenfalls;1;2013-01-06T22:44:15;1;0;
samedi;samstag;4;2013-01-06T18:34:31;1;2;
detenir, revetir;bekleiden;8;2012-12-25T18:52:40;13;8;
J'aime occuper mon temps a lire;Ich verbringe meine Zeit gern mit lesen;5;2013-01-03T22:56:08;4;1;
Flute;Mist;9;2013-01-06T21:57:01;1;33;
en etat d'apesanteur;schwerelos;4;2013-01-06T18:34:19;1;2;
suffisant;ausreichend;2;2013-01-06T18:34:23;1;0;
le bonnet de laine;die wollmütze;1;2013-01-06T22:53:26;1;0;
le destinataire;der empfänger;7;2012-12-25T19:22:19;13;0;
Je suis furieux à cause de;Ich bin wütend über;5;2013-01-03T22:43:58;4;1;
dimanche;sonntag;4;2013-01-06T18:34:41;1;2;
tomber en panne, échouer;versagen;8;2012-12-25T19:20:12;13;8;
la cadance, le rythme;der Takt;8;2013-01-01T21:34:09;6;15;
l'evenement;das Geschehen;8;2012-12-19T00:13:37;20;2;
exceller dans quelque chose;in etwas ausgezeichnet sein;5;2013-01-03T22:34:55;4;1;
etre gai, etre en pleine forme;richtig in Stimmung kommen;1;2013-01-06T22:53:09;1;0;
enbrasser;küssen;8;2012-12-17T23:10:45;21;0;
le ciel;der Himmel;9;2013-01-03T22:41:02;4;30;
le fusil;das Gewehr;5;2013-01-06T22:59:22;1;4;
livrer quelquechose;abliefern;8;2013-01-04T16:53:14;3;18;
se tenir à carreau	;sich anständig benehmen;5;2013-01-03T22:57:07;4;1;
la folie, du jamais vu;Wahnsinn;1;2013-01-06T17:27:20;1;0;
le mot-clé;das Stichwort;3;2013-01-06T18:39:23;1;1;
la grande ours;der Große Bär;7;2013-01-05T17:56:41;2;11;
alors que;obwohl;5;2013-01-03T22:55:14;4;1;
Il a attrapé le bus de justesse;Er hat den Bus gerade noch erwischt;4;2013-01-05T17:56:00;2;1;
la météo;das Wetter;8;2012-12-19T00:42:32;19;2;
le chomage des jeunes a augmanté de 25%;die Jungendarbeitslosigkeit ist um 25% gestiegen;6;2013-01-03T00:14:59;5;4;
Patiemment l'araignée tisse sa toile;Geduldig webt die Spinne ihr Netz;7;2013-01-05T17:55:40;2;11;
régler le volume;die Lautstärke ein stellen;7;2012-12-31T16:32:48;7;6;
se lier d'amitié avec qn.;sich mit jemandem befreunden;6;2012-12-31T16:32:40;7;1;
un petit beure;der Butterkeks;9;2013-01-03T22:55:22;4;30;
